fpr,tpr
0.00729,0.150612
0.00729,0.150742
0.00729,0.150872
0.00729,0.151002
0.00729,0.151133
0.00729,0.151263
0.00729,0.151393
0.00729,0.151523
0.00729,0.151653
0.00729,0.151783
0.00729,0.151914
0.00729,0.152044
0.00729,0.152174
0.00729,0.152304
0.00729,0.152434
0.00729,0.152564
0.00729,0.152695
0.00729,0.152955
0.00729,0.153085
0.00729,0.153215
0.00729,0.153345
0.00729,0.153476
0.00729,0.153606
0.00729,0.153736
0.00729,0.153866
0.00729,0.154127
0.00729,0.154257
0.00729,0.154517
0.00729,0.154647
0.00729,0.154777
0.00729,0.154908
0.00729,0.155038
0.00729,0.155168
0.00729,0.155298
0.00729,0.155428
0.00729,0.155558
0.00729,0.155689
0.00729,0.155819
0.00729,0.155949
0.00729,0.156079
0.00729,0.156209
0.00729,0.156339
0.00729,0.1566
0.00729,0.15673
0.00729,0.15686
0.00729,0.15699
0.00729,0.157121
0.00729,0.157251
0.00729,0.157381
0.00729,0.157511
0.00729,0.157641
0.00729,0.157771
0.00729,0.157902
0.00729,0.158032
0.00729,0.158292
0.00729,0.158422
0.00729,0.158552
0.00729,0.158683
0.00729,0.158813
0.00729,0.158943
0.00729,0.159073
0.00729,0.159203
0.00729,0.159334
0.00729,0.159464
0.00729,0.159594
0.00729,0.159724
0.00729,0.159854
0.00729,0.159984
0.00729,0.160115
0.00729,0.160245
0.00729,0.160375
0.007952,0.160375
0.007952,0.160505
0.007952,0.160635
0.007952,0.160765
0.007952,0.160896
0.007952,0.161026
0.007952,0.161156
0.007952,0.161286
0.007952,0.161546
0.007952,0.161677
0.007952,0.161807
0.007952,0.161937
0.007952,0.162067
0.007952,0.162197
0.007952,0.162328
0.007952,0.162458
0.007952,0.162588
0.007952,0.162718
0.007952,0.162848
0.007952,0.162978
0.007952,0.163109
0.007952,0.163239
0.007952,0.163369
0.007952,0.163499
0.007952,0.163629
0.007952,0.163759
0.007952,0.16389
0.007952,0.16402
0.007952,0.16415
0.007952,0.16428
0.007952,0.16441
0.007952,0.16454
0.007952,0.164671
0.007952,0.164801
0.007952,0.164931
0.007952,0.165061
0.007952,0.165191
0.007952,0.165322
0.007952,0.165452
0.007952,0.165582
0.007952,0.165712
0.007952,0.165842
0.007952,0.165972
0.007952,0.166103
0.007952,0.166233
0.007952,0.166363
0.007952,0.166493
0.007952,0.166623
0.007952,0.166753
0.007952,0.166884
0.007952,0.167014
0.007952,0.167144
0.007952,0.167404
0.007952,0.167534
0.007952,0.167665
0.008615,0.167665
0.008615,0.167795
0.008615,0.167925
0.008615,0.168055
0.008615,0.168185
0.008615,0.168316
0.008615,0.168446
0.008615,0.168576
0.008615,0.168706
0.008615,0.168836
0.008615,0.168966
0.008615,0.169097
0.008615,0.169227
0.008615,0.169357
0.008615,0.169487
0.008615,0.169617
0.008615,0.169747
0.008615,0.169878
0.008615,0.170008
0.008615,0.170268
0.008615,0.170398
0.008615,0.170529
0.008615,0.170659
0.008615,0.170789
0.008615,0.171049
0.008615,0.171179
0.008615,0.17131
0.008615,0.17144
0.008615,0.17157
0.008615,0.1717
0.008615,0.17183
0.008615,0.17196
0.008615,0.172091
0.008615,0.172221
0.009278,0.172221
0.009278,0.172351
0.009278,0.172481
0.009278,0.172611
0.009278,0.172741
0.009278,0.172872
0.009278,0.173002
0.009278,0.173132
0.009278,0.173262
0.009278,0.173392
0.009278,0.173523
0.009278,0.173653
0.009278,0.173783
0.009278,0.173913
0.009278,0.174043
0.009278,0.174173
0.009278,0.174434
0.009278,0.174564
0.009278,0.174694
0.009278,0.174824
0.009278,0.174954
0.009278,0.175085
0.009278,0.175215
0.009278,0.175345
0.009278,0.175475
0.009278,0.175605
0.009278,0.175735
0.009278,0.175866
0.009278,0.175996
0.009278,0.176256
0.009278,0.176386
0.009278,0.176517
0.009278,0.176647
0.009278,0.176777
0.009278,0.176907
0.009278,0.177037
0.009278,0.177167
0.009278,0.177298
0.009278,0.177428
0.009278,0.177558
0.009278,0.177818
0.009278,0.177948
0.009278,0.178079
0.009278,0.178209
0.009278,0.178469
0.009278,0.178599
0.009278,0.178729
0.009278,0.17886
0.009278,0.17899
0.009278,0.17912
0.009278,0.17925
0.009278,0.17938
0.009278,0.179511
0.009278,0.179641
0.009278,0.179771
0.009278,0.179901
0.009278,0.180031
0.009278,0.180161
0.009278,0.180292
0.00994,0.180292
0.00994,0.180422
0.00994,0.180552
0.00994,0.180682
0.00994,0.180812
0.00994,0.180942
0.00994,0.181073
0.00994,0.181203
0.00994,0.181333
0.00994,0.181463
0.00994,0.181593
0.00994,0.181724
0.00994,0.181854
0.00994,0.181984
0.00994,0.182114
0.00994,0.182244
0.00994,0.182374
0.00994,0.182505
0.00994,0.182635
0.00994,0.182765
0.00994,0.182895
0.00994,0.183025
0.00994,0.183155
0.00994,0.183286
0.00994,0.183416
0.00994,0.183546
0.00994,0.183676
0.00994,0.183806
0.00994,0.183936
0.00994,0.184067
0.00994,0.184197
0.00994,0.184327
0.00994,0.184457
0.00994,0.184587
0.00994,0.184718
0.00994,0.184848
0.00994,0.184978
0.00994,0.185108
0.00994,0.185238
0.00994,0.185368
0.00994,0.185499
0.00994,0.185629
0.00994,0.185759
0.00994,0.185889
0.00994,0.186019
0.00994,0.186149
0.00994,0.18628
0.00994,0.18641
0.00994,0.18654
0.00994,0.18667
0.00994,0.1868
0.00994,0.18693
0.00994,0.187061
0.00994,0.187191
0.00994,0.187321
0.00994,0.187451
0.00994,0.187581
0.00994,0.187712
0.00994,0.187842
0.00994,0.187972
0.00994,0.188102
0.00994,0.188232
0.00994,0.188362
0.00994,0.188493
0.00994,0.188623
0.00994,0.188753
0.00994,0.188883
0.00994,0.189013
0.00994,0.189143
0.00994,0.189274
0.00994,0.189404
0.00994,0.189534
0.00994,0.189664
0.00994,0.189794
0.00994,0.189924
0.00994,0.190055
0.00994,0.190185
0.00994,0.190315
0.00994,0.190445
0.00994,0.190575
0.00994,0.190706
0.00994,0.190966
0.00994,0.191096
0.00994,0.191226
0.00994,0.191356
0.00994,0.191487
0.00994,0.191617
0.00994,0.191747
0.00994,0.191877
0.00994,0.192007
0.00994,0.192137
0.00994,0.192268
0.00994,0.192398
0.00994,0.192528
0.00994,0.192658
0.00994,0.192788
0.00994,0.192919
0.00994,0.193049
0.00994,0.193179
0.00994,0.193309
0.00994,0.193439
0.00994,0.193569
0.00994,0.1937
0.00994,0.19383
0.00994,0.19396
0.00994,0.19409
0.00994,0.19422
